# default klp SPL
freq,value
20,84.8
20.8,85.3
21.63,85.9
22.5,86.8
23.4,87.1
24.34,87.6
25.31,88.6
26.32,89.2
27.38,89.8
28.47,90.1
29.61,90.3
30.8,91.2
32.03,91.2
33.31,91.4
34.65,92
36.03,92
37.48,92.3
38.98,92.8
40.54,92.8
42.16,92.9
43.85,93.3
45.6,93.9
47.43,94.9
49.32,95
51.3,96.1
53.35,96.3
55.49,96.3
57.71,96.6
60.02,96.9
62.42,96.8
64.92,96.9
67.52,97.4
70.22,97.1
73.03,97.8
75.95,97.4
78.99,97.5
82.16,97.9
85.45,97.9
88.87,97.8
92.42,98
96.12,98.2
99.97,97.7
103.97,98.6
108.13,98.5
112.46,98.2
116.96,98
121.64,97.9
126.51,97.8
131.58,97.4
136.84,97.4
142.32,97.5
148.02,97.2
153.94,97.4
160.1,97
166.51,97.3
173.18,97.1
180.11,96.8
187.32,95.9
194.82,95.2
202.62,94.8
210.73,94
219.16,93.2
227.93,92.7
237.06,92.2
246.55,91.4
256.41,90.9
266.68,90
277.35,88.8
288.45,87.6
300,86.7
