# default s1 impedance
freq,value
20,7.13
20.8,7.39
21.63,7.83
22.5,8.53
23.4,9.6
24.34,11.12
25.31,13.1
26.32,15.41
27.38,17.79
28.47,19.69
29.61,20.62
30.8,20.18
32.03,18.39
33.31,15.72
34.65,12.99
36.03,11.17
37.48,10.91
38.98,12.28
40.54,14.53
42.16,16.56
43.85,17.51
45.6,17.09
47.43,15.48
49.32,13.19
51.3,10.84
53.35,8.97
55.49,7.76
57.71,7.15
60.02,6.9
62.42,6.82
64.92,6.8
67.52,6.8
70.22,6.8
73.03,6.8
75.95,6.8
78.99,6.8
82.16,6.8
85.45,6.8
88.87,6.8
92.42,6.8
96.12,6.8
99.97,6.8
103.97,6.8
108.13,6.8
112.46,6.8
116.96,6.8
121.64,6.8
126.51,6.8
131.58,6.8
136.84,6.8
142.32,6.8
148.02,6.8
153.94,6.8
160.1,6.8
166.51,6.8
173.18,6.8
180.11,6.8
187.32,6.8
194.82,6.8
202.62,6.8
210.73,6.8
219.16,6.8
227.93,6.8
237.06,6.8
246.55,6.8
256.41,6.8
266.68,6.8
277.35,6.8
288.45,6.8
300,6.8
