# default s1 impedance
freq,value
20,3.59
20.8,3.75
21.63,4
22.5,4.4
23.4,5
24.34,5.82
25.31,6.87
26.32,8.04
27.38,9.17
28.47,9.98
29.61,10.23
30.8,9.76
32.03,8.65
33.31,7.19
34.65,5.73
36.03,4.62
37.48,4.08
38.98,4.29
40.54,5.21
42.16,6.52
43.85,7.76
45.6,8.57
47.43,8.83
49.32,8.47
51.3,7.58
53.35,6.41
55.49,5.26
57.71,4.37
60.02,3.82
62.42,3.55
64.92,3.44
67.52,3.41
70.22,3.4
73.03,3.4
75.95,3.4
78.99,3.4
82.16,3.4
85.45,3.4
88.87,3.4
92.42,3.4
96.12,3.4
99.97,3.4
103.97,3.4
108.13,3.4
112.46,3.4
116.96,3.4
121.64,3.4
126.51,3.4
131.58,3.4
136.84,3.4
142.32,3.4
148.02,3.4
153.94,3.4
160.1,3.4
166.51,3.4
173.18,3.4
180.11,3.4
187.32,3.4
194.82,3.4
202.62,3.4
210.73,3.4
219.16,3.4
227.93,3.4
237.06,3.4
246.55,3.4
256.41,3.4
266.68,3.4
277.35,3.4
288.45,3.4
300,3.4
