# default rew SPL
freq,value
20,67.1
20.8,69
21.63,70.2
22.5,72.3
23.4,74
24.34,75.2
25.31,77.1
26.32,78.4
27.38,80.5
28.47,82.1
29.61,83.5
30.8,85.4
32.03,87.2
33.31,88.5
34.65,89.9
36.03,91.5
37.48,93.1
38.98,94.7
40.54,96.2
42.16,97.6
43.85,99
45.6,99.9
47.43,101.2
49.32,101.9
51.3,102.6
53.35,103.4
55.49,103.9
57.71,104.2
60.02,104.6
62.42,104.4
64.92,104.8
67.52,104.6
70.22,104.8
73.03,104.9
75.95,104.9
78.99,105
82.16,104.9
85.45,104.8
88.87,105.2
92.42,104.8
96.12,104.8
99.97,104.8
103.97,104.9
108.13,104.8
112.46,104.9
116.96,104.8
121.64,104.7
126.51,104.2
131.58,104.1
136.84,104.2
142.32,104
148.02,103.9
153.94,103.8
160.1,103.9
166.51,103.1
173.18,102.8
180.11,102.3
187.32,101
194.82,100.3
202.62,99.5
210.73,98
219.16,97.3
227.93,95.9
237.06,94.9
246.55,93.6
256.41,91.9
266.68,90.3
277.35,88.6
288.45,86.6
300,84.8
