# default s1 impedance
freq,value
20,6.81
20.8,6.81
21.63,6.82
22.5,6.84
23.4,6.87
24.34,6.94
25.31,7.06
26.32,7.27
27.38,7.63
28.47,8.21
29.61,9.12
30.8,10.46
32.03,12.26
33.31,14.48
34.65,16.9
36.03,19.08
37.48,20.52
38.98,20.72
40.54,19.52
42.16,17.24
43.85,14.66
45.6,12.78
47.43,12.37
49.32,13.52
51.3,15.46
53.35,17.02
55.49,17.38
57.71,16.37
60.02,14.36
62.42,11.97
64.92,9.81
67.52,8.27
70.22,7.39
73.03,6.99
75.95,6.85
78.99,6.81
82.16,6.8
85.45,6.8
88.87,6.8
92.42,6.8
96.12,6.8
99.97,6.8
103.97,6.8
108.13,6.8
112.46,6.8
116.96,6.8
121.64,6.8
126.51,6.8
131.58,6.8
136.84,6.8
142.32,6.8
148.02,6.8
153.94,6.8
160.1,6.8
166.51,6.8
173.18,6.8
180.11,6.8
187.32,6.8
194.82,6.8
202.62,6.8
210.73,6.8
219.16,6.8
227.93,6.8
237.06,6.8
246.55,6.8
256.41,6.8
266.68,6.8
277.35,6.8
288.45,6.8
300,6.8
