# default s1 SPL
freq,value
20,71.8
20.8,73.5
21.63,75.2
22.5,76.9
23.4,78.6
24.34,80.3
25.31,82
26.32,83.7
27.38,85.4
28.47,87.1
29.61,88.7
30.8,90.3
32.03,91.9
33.31,93.4
34.65,94.9
36.03,96.3
37.48,97.5
38.98,98.7
40.54,99.6
42.16,100.4
43.85,101
45.6,101.5
47.43,101.8
49.32,102.1
51.3,102.3
53.35,102.4
55.49,102.5
57.71,102.6
60.02,102.6
62.42,102.6
64.92,102.6
67.52,102.6
70.22,102.6
73.03,102.6
75.95,102.6
78.99,102.6
82.16,102.6
85.45,102.6
88.87,102.5
92.42,102.5
96.12,102.4
99.97,102.3
103.97,102.6
108.13,102.5
112.46,102.4
116.96,102.1
121.64,101.8
126.51,101.4
131.58,100.9
136.84,100.4
142.32,99.8
148.02,99.2
153.94,98.6
160.1,97.9
166.51,97.2
173.18,96.4
180.11,95.4
187.32,94.2
194.82,92.8
202.62,91.1
210.73,89.4
219.16,87.6
227.93,85.8
237.06,84.1
246.55,82.4
256.41,80.8
266.68,79
277.35,77
288.45,74.9
300,72.7
