# default s1 SPL
freq,value
20,75.2
20.8,76.9
21.63,78.6
22.5,80.3
23.4,82
24.34,83.7
25.31,85.4
26.32,87.1
27.38,88.8
28.47,90.5
29.61,92.1
30.8,93.8
32.03,95.5
33.31,97.1
34.65,98.7
36.03,100.2
37.48,101.7
38.98,103
40.54,104.3
42.16,105.4
43.85,106.3
45.6,107.1
47.43,107.7
49.32,108.2
51.3,108.6
53.35,108.8
55.49,109
57.71,109.1
60.02,109.2
62.42,109.3
64.92,109.3
67.52,109.3
70.22,109.4
73.03,109.4
75.95,109.4
78.99,109.4
82.16,109.3
85.45,109.3
88.87,109.3
92.42,109.3
96.12,109.2
99.97,109.2
103.97,109.1
108.13,109.1
112.46,109
116.96,109
121.64,109
126.51,108.9
131.58,108.7
136.84,108.4
142.32,108
148.02,107.5
153.94,106.9
160.1,106.2
166.51,105.4
173.18,104.5
180.11,103.6
187.32,102.7
194.82,101.7
202.62,100.6
210.73,99.4
219.16,98
227.93,96.4
237.06,94.6
246.55,92.7
256.41,90.8
266.68,88.9
277.35,87.1
288.45,85.4
300,83.7
