# default s1 impedance
freq,value
20,3.51
20.8,3.59
21.63,3.74
22.5,4
23.4,4.4
24.34,5
25.31,5.82
26.32,6.87
27.38,8.07
28.47,9.23
29.61,10.09
30.8,10.4
32.03,10.02
33.31,9.02
34.65,7.72
36.03,6.62
37.48,6.16
38.98,6.51
40.54,7.42
42.16,8.32
43.85,8.71
45.6,8.41
47.43,7.53
49.32,6.36
51.3,5.22
53.35,4.34
55.49,3.8
57.71,3.54
60.02,3.44
62.42,3.41
64.92,3.4
67.52,3.4
70.22,3.4
73.03,3.4
75.95,3.4
78.99,3.4
82.16,3.4
85.45,3.4
88.87,3.4
92.42,3.4
96.12,3.4
99.97,3.4
103.97,3.4
108.13,3.4
112.46,3.4
116.96,3.4
121.64,3.4
126.51,3.4
131.58,3.4
136.84,3.4
142.32,3.4
148.02,3.4
153.94,3.4
160.1,3.4
166.51,3.4
173.18,3.4
180.11,3.4
187.32,3.4
194.82,3.4
202.62,3.4
210.73,3.4
219.16,3.4
227.93,3.4
237.06,3.4
246.55,3.4
256.41,3.4
266.68,3.4
277.35,3.4
288.45,3.4
300,3.4
