# default s1 SPL
freq,value
20,76
20.8,77.7
21.63,79.4
22.5,81.1
23.4,82.8
24.34,84.5
25.31,86.2
26.32,87.9
27.38,89.6
28.47,91.2
29.61,92.9
30.8,94.5
32.03,96
33.31,97.5
34.65,98.9
36.03,100.2
37.48,101.3
38.98,102.3
40.54,103.2
42.16,103.8
43.85,104.4
45.6,104.8
47.43,105
49.32,105.2
51.3,105.4
53.35,105.5
55.49,105.6
57.71,105.6
60.02,105.6
62.42,105.6
64.92,105.6
67.52,105.6
70.22,105.6
73.03,105.6
75.95,105.6
78.99,105.6
82.16,105.6
85.45,105.5
88.87,105.5
92.42,105.5
96.12,105.4
99.97,105
103.97,104.8
108.13,104.7
112.46,104.5
116.96,104.4
121.64,104.2
126.51,104.1
131.58,103.9
136.84,103.5
142.32,103.1
148.02,102.5
153.94,101.7
160.1,100.7
166.51,99.6
173.18,98.3
180.11,96.9
187.32,95.6
194.82,94.2
202.62,92.8
210.73,91.4
219.16,89.9
227.93,88.2
237.06,86.3
246.55,84.2
256.41,82.1
266.68,80.1
277.35,78.2
288.45,76.5
300,74.7
