# default s1 SPL 4x
freq,value
20,95.8
20.8,97.4
21.63,99.1
22.5,100.7
23.4,102.3
24.34,103.9
25.31,105.5
26.32,107
27.38,108.4
28.47,109.8
29.61,111.1
30.8,112.2
32.03,113.2
33.31,114
34.65,114.7
36.03,115.2
37.48,115.5
38.98,115.7
40.54,115.9
42.16,115.9
43.85,116
45.6,115.9
47.43,115.9
49.32,115.8
51.3,115.7
53.35,115.6
55.49,115.5
57.71,115.4
60.02,115.3
62.42,115.1
64.92,115
67.52,114.9
70.22,114.7
73.03,114.5
75.95,114.4
78.99,114.2
82.16,114
85.45,113.9
88.87,113.6
92.42,113.2
96.12,112.8
99.97,112.3
103.97,111.9
108.13,111.5
112.46,111
116.96,110.6
121.64,110
126.51,109.4
131.58,108.7
136.84,107.7
142.32,106.6
148.02,105.2
153.94,103.7
160.1,102
166.51,100.3
173.18,98.6
180.11,97
187.32,95.5
194.82,93.8
202.62,92.1
210.73,90.1
219.16,88
227.93,85.7
237.06,83.6
246.55,81.7
256.41,80
266.68,78.2
277.35,76.1
288.45,73.8
300,71.5
