# default rew impedance
freq,value
20,3.4
20.8,3.4
21.63,3.41
22.5,3.42
23.4,3.44
24.34,3.47
25.31,3.52
26.32,3.63
27.38,3.8
28.47,4.09
29.61,4.53
30.8,5.19
32.03,6.07
33.31,7.16
34.65,8.35
36.03,9.41
37.48,10.09
38.98,10.14
40.54,9.46
42.16,8.22
43.85,6.73
45.6,5.36
47.43,4.31
49.32,3.59
51.3,3.16
53.35,3.12
55.49,3.65
57.71,4.71
60.02,5.97
62.42,7.14
64.92,8.09
67.52,8.7
70.22,8.81
73.03,8.35
75.95,7.4
78.99,6.21
82.16,5.09
85.45,4.25
88.87,3.76
92.42,3.52
96.12,3.43
99.97,3.41
103.97,3.4
108.13,3.4
112.46,3.4
116.96,3.4
121.64,3.4
126.51,3.4
131.58,3.4
136.84,3.4
142.32,3.4
148.02,3.4
153.94,3.4
160.1,3.4
166.51,3.4
173.18,3.4
180.11,3.4
187.32,3.4
194.82,3.4
202.62,3.4
210.73,3.4
219.16,3.4
227.93,3.4
237.06,3.4
246.55,3.4
256.41,3.4
266.68,3.4
277.35,3.4
288.45,3.4
300,3.4
