# default rew SPL
freq,value
20,62.4
20.8,64
21.63,65.7
22.5,67.5
23.4,69.1
24.34,70.8
25.31,72.7
26.32,74.3
27.38,76
28.47,77.6
29.61,79
30.8,80.5
32.03,82.5
33.31,84.2
34.65,85.5
36.03,87
37.48,88.8
38.98,90.2
40.54,91.9
42.16,93.6
43.85,95
45.6,96.3
47.43,97.4
49.32,98.6
51.3,99.5
53.35,100.7
55.49,101.2
57.71,101.6
60.02,102.5
62.42,102.5
64.92,102.8
67.52,102.8
70.22,103.4
73.03,103.4
75.95,103.3
78.99,103.2
82.16,103.2
85.45,103.1
88.87,103.3
92.42,103.4
96.12,103.1
99.97,103.1
103.97,103.5
108.13,103.3
112.46,103.3
116.96,103
121.64,103.1
126.51,103.1
131.58,102.6
136.84,102.2
142.32,102.6
148.02,102.2
153.94,102
160.1,101.4
166.51,100.8
173.18,100.5
180.11,99.5
187.32,98.8
194.82,97.5
202.62,96.4
210.73,95
219.16,94
227.93,92.7
237.06,91.1
246.55,89.6
256.41,88.1
266.68,86.4
277.35,84.9
288.45,82.8
300,81.2
