# default s1 SPL
freq,value
20,60.9
20.8,62.6
21.63,64.3
22.5,66
23.4,67.7
24.34,69.4
25.31,71.1
26.32,72.8
27.38,74.6
28.47,76.2
29.61,78
30.8,79.7
32.03,81.3
33.31,83
34.65,84.7
36.03,86.4
37.48,88.1
38.98,89.7
40.54,91.3
42.16,92.9
43.85,94.4
45.6,95.9
47.43,97.2
49.32,98.4
51.3,99.5
53.35,100.5
55.49,101.2
57.71,101.8
60.02,102.3
62.42,102.6
64.92,102.8
67.52,103
70.22,103.1
73.03,103.2
75.95,103.3
78.99,103.3
82.16,103.3
85.45,103.3
88.87,103.3
92.42,103.3
96.12,103.3
99.97,103.3
103.97,103.2
108.13,103.2
112.46,103.1
116.96,103
121.64,102.9
126.51,102.8
131.58,102.7
136.84,102.4
142.32,102.3
148.02,102.2
153.94,101.9
160.1,101.6
166.51,101.1
173.18,100.5
180.11,99.7
187.32,98.8
194.82,97.7
202.62,96.5
210.73,95.3
219.16,94
227.93,92.6
237.06,91.2
246.55,89.8
256.41,88.3
266.68,86.7
277.35,85
288.45,83
300,81
