# default s1 SPL
freq,value
20,65.8
20.8,67.5
21.63,69.2
22.5,71
23.4,72.7
24.34,74.4
25.31,76.1
26.32,77.7
27.38,79.5
28.47,81.1
29.61,82.8
30.8,84.5
32.03,86.2
33.31,87.8
34.65,89.5
36.03,91.1
37.48,92.6
38.98,94.1
40.54,95.5
42.16,96.8
43.85,97.9
45.6,98.9
47.43,99.7
49.32,100.4
51.3,100.9
53.35,101.3
55.49,101.5
57.71,101.7
60.02,101.9
62.42,102
64.92,102
67.52,102.1
70.22,102.1
73.03,102.1
75.95,102.1
78.99,102.1
82.16,102.1
85.45,102.1
88.87,102
92.42,102
96.12,101.9
99.97,101.9
103.97,101.8
108.13,101.7
112.46,101.5
116.96,101.8
121.64,101.5
126.51,101.2
131.58,100.7
136.84,100.2
142.32,99.6
148.02,99
153.94,98.2
160.1,97.4
166.51,96.6
173.18,95.7
180.11,94.7
187.32,93.7
194.82,92.5
202.62,91.1
210.73,89.6
219.16,87.9
227.93,86
237.06,84.1
246.55,82.1
256.41,80.2
266.68,78.4
277.35,76.7
288.45,75
300,73.1
