# default s1 phase
freq,value
20,116.8
20.8,129.6
21.63,137.3
22.5,142.9
23.4,147
24.34,149.8
25.31,151.5
26.32,152.2
27.38,152
28.47,150.8
29.61,148.7
30.8,145.6
32.03,141.6
33.31,136.6
34.65,130.8
36.03,124.1
37.48,116.8
38.98,109.1
40.54,101.1
42.16,93.2
43.85,85.5
45.6,78.2
47.43,71.2
49.32,64.6
51.3,58.4
53.35,52.6
55.49,47.1
57.71,41.9
60.02,36.8
62.42,31.9
64.92,27.2
67.52,22.5
70.22,17.8
73.03,13.2
75.95,8.6
78.99,3.9
82.16,-0.9
85.45,-5.8
88.87,-10.7
92.42,-15.9
96.12,-21.7
99.97,-26.2
103.97,-29.6
108.13,-33.9
112.46,-38.3
116.96,-42.9
121.64,-47.4
126.51,-51.7
131.58,-55.6
136.84,-58.7
142.32,-60.6
148.02,-60.9
153.94,-59.3
160.1,-55.3
166.51,-48.7
173.18,-38.9
180.11,-24.8
187.32,-1.2
194.82,0
202.62,0
210.73,0
219.16,0
227.93,0
237.06,0
246.55,0
256.41,0
266.68,0
277.35,0
288.45,0
300,0
