# default s1 SPL
freq,value
20,69.7
20.8,71.4
21.63,73.1
22.5,74.8
23.4,76.5
24.34,78.2
25.31,79.8
26.32,81.5
27.38,83.2
28.47,84.8
29.61,86.4
30.8,88
32.03,89.5
33.31,91
34.65,92.3
36.03,93.5
37.48,94.6
38.98,95.5
40.54,96.2
42.16,96.8
43.85,97.3
45.6,97.6
47.43,97.8
49.32,98
51.3,98.1
53.35,98.2
55.49,98.2
57.71,98.2
60.02,98.2
62.42,98.2
64.92,98.2
67.52,98.2
70.22,98.1
73.03,98
75.95,97.9
78.99,97.8
82.16,97.7
85.45,97.5
88.87,97.3
92.42,97
96.12,96.7
99.97,95.9
103.97,95.5
108.13,95.1
112.46,94.5
116.96,93.9
121.64,93.1
126.51,92.2
131.58,91.1
136.84,89.8
142.32,88.3
148.02,86.7
153.94,85
160.1,83.2
166.51,81.4
173.18,79.5
180.11,77.8
187.32,76.1
194.82,74.4
202.62,72.6
210.73,70.7
219.16,68.7
227.93,66.5
237.06,64.3
246.55,62.1
256.41,60.2
266.68,58.3
277.35,56.6
288.45,54.6
300,52.5
