# alt-18s hr SPL
freq,value
20,74.5
20.8,76.2
21.63,77.9
22.5,79.6
23.4,81.3
24.34,83
25.31,84.7
26.32,86.4
27.38,88
28.47,89.7
29.61,91.4
30.8,93
32.03,94.6
33.31,96.1
34.65,97.6
36.03,99
37.48,100.3
38.98,101.5
40.54,102.5
42.16,103.3
43.85,104
45.6,104.5
47.43,104.9
49.32,105.2
51.3,105.4
53.35,105.6
55.49,105.7
57.71,105.7
60.02,105.7
62.42,105.8
64.92,105.8
67.52,105.7
70.22,105.7
73.03,105.7
75.95,105.6
78.99,105.5
82.16,105.4
85.45,105.3
88.87,105.1
92.42,105
96.12,104.7
99.97,104.4
103.97,103.7
108.13,103.2
112.46,102.7
116.96,102.2
121.64,101.6
126.51,100.9
131.58,100
136.84,99.1
142.32,98
148.02,96.8
153.94,95.3
160.1,93.7
166.51,92
173.18,90.1
180.11,88.2
187.32,86.4
194.82,84.5
202.62,82.7
210.73,81
219.16,79.3
227.93,77.4
237.06,75.4
246.55,73.3
256.41,71.1
266.68,68.9
277.35,66.8
288.45,65
300,63.2
