# default s1 SPL
freq,value
20,84.8
20.8,85.1
21.63,85.4
22.5,85.8
23.4,86.1
24.34,86.4
25.31,86.7
26.32,87.1
27.38,87.4
28.47,87.7
29.61,88
30.8,88.4
32.03,88.7
33.31,89
34.65,89.3
36.03,89.6
37.48,89.9
38.98,90.2
40.54,90.5
42.16,90.8
43.85,91.1
45.6,91.4
47.43,91.7
49.32,92
51.3,92.3
53.35,92.6
55.49,92.8
57.71,93.1
60.02,93.4
62.42,93.6
64.92,93.9
67.52,94.2
70.22,94.4
73.03,94.7
75.95,94.9
78.99,95.1
82.16,95.4
85.45,95.6
88.87,95.8
92.42,96
96.12,96.2
99.97,96.4
103.97,96.6
108.13,96.7
112.46,96.9
116.96,97.1
121.64,97.2
126.51,97.4
131.58,97.5
136.84,97.6
142.32,97.8
148.02,97.9
153.94,98
160.1,98
166.51,98.1
173.18,98.2
180.11,98.2
187.32,98.2
194.82,98.2
202.62,98.1
210.73,98
219.16,97.9
227.93,97.7
237.06,97.5
246.55,97.2
256.41,96.8
266.68,96.4
277.35,96
288.45,95.4
300,94.8
