# default s1 SPL
freq,value
20,90.9
20.8,91.3
21.63,91.6
22.5,91.9
23.4,92.2
24.34,92.6
25.31,92.9
26.32,93.2
27.38,93.5
28.47,93.8
29.61,94.1
30.8,94.4
32.03,94.7
33.31,95
34.65,95.3
36.03,95.6
37.48,95.9
38.98,96.2
40.54,96.5
42.16,96.8
43.85,97
45.6,97.3
47.43,97.6
49.32,97.8
51.3,98.1
53.35,98.3
55.49,98.6
57.71,98.8
60.02,99.1
62.42,99.3
64.92,99.5
67.52,99.8
70.22,100
73.03,100.2
75.95,100.4
78.99,100.6
82.16,100.7
85.45,100.9
88.87,101.1
92.42,101.3
96.12,101.4
99.97,101.6
103.97,101.7
108.13,101.9
112.46,102
116.96,102.1
121.64,102.2
126.51,102.3
131.58,102.4
136.84,102.5
142.32,102.6
148.02,102.6
153.94,102.7
160.1,102.7
166.51,102.7
173.18,102.7
180.11,102.7
187.32,102.6
194.82,102.5
202.62,102.4
210.73,102.2
219.16,102
227.93,101.7
237.06,101.4
246.55,101
256.41,100.5
266.68,100
277.35,99.5
288.45,98.8
300,98.1
