# default s1 impedance
freq,value
20,3.46
20.8,3.48
21.63,3.49
22.5,3.51
23.4,3.53
24.34,3.56
25.31,3.59
26.32,3.63
27.38,3.68
28.47,3.74
29.61,3.82
30.8,3.91
32.03,4.03
33.31,4.17
34.65,4.34
36.03,4.55
37.48,4.8
38.98,5.11
40.54,5.48
42.16,5.92
43.85,6.43
45.6,7.03
47.43,7.71
49.32,8.46
51.3,9.28
53.35,10.14
55.49,11.02
57.71,11.85
60.02,12.6
62.42,13.18
64.92,13.53
67.52,13.58
70.22,13.31
73.03,12.69
75.95,11.76
78.99,10.58
82.16,9.26
85.45,7.91
88.87,6.66
92.42,5.6
96.12,4.77
99.97,4.18
103.97,3.81
108.13,3.59
112.46,3.48
116.96,3.43
121.64,3.41
126.51,3.4
131.58,3.4
136.84,3.4
142.32,3.4
148.02,3.4
153.94,3.4
160.1,3.4
166.51,3.4
173.18,3.4
180.11,3.4
187.32,3.4
194.82,3.4
202.62,3.4
210.73,3.4
219.16,3.4
227.93,3.4
237.06,3.4
246.55,3.4
256.41,3.4
266.68,3.4
277.35,3.4
288.45,3.4
300,3.4
