# default rew phase
freq,value
20,32.2
20.8,35.1
21.63,37
22.5,38.6
23.4,39.9
24.34,41
25.31,41.9
26.32,42.7
27.38,43.4
28.47,44
29.61,44.4
30.8,44.8
32.03,45.1
33.31,45.3
34.65,45.4
36.03,45.4
37.48,45.4
38.98,45.2
40.54,45.1
42.16,44.8
43.85,44.5
45.6,44.1
47.43,43.6
49.32,43.1
51.3,42.5
53.35,41.9
55.49,41.2
57.71,40.4
60.02,39.6
62.42,38.7
64.92,37.8
67.52,36.7
70.22,35.7
73.03,34.5
75.95,33.3
78.99,32.1
82.16,30.8
85.45,29.4
88.87,27.9
92.42,26.4
96.12,24.8
99.97,23.1
103.97,21.4
108.13,19.6
112.46,17.7
116.96,15.7
121.64,13.7
126.51,11.6
131.58,9.5
136.84,7.3
142.32,5.2
148.02,3.1
153.94,1.1
160.1,-0.7
166.51,-2.1
173.18,-3
180.11,-2.9
187.32,-0.2
194.82,0
202.62,0
210.73,0
219.16,0
227.93,0
237.06,0
246.55,0
256.41,0
266.68,0
277.35,0
288.45,0
300,0
