# default s1 SPL
freq,value
20,95.5
20.8,95.8
21.63,96.1
22.5,96.4
23.4,96.6
24.34,96.9
25.31,97.2
26.32,97.5
27.38,97.7
28.47,98
29.61,98.3
30.8,98.5
32.03,98.8
33.31,99
34.65,99.2
36.03,99.5
37.48,99.7
38.98,99.9
40.54,100.1
42.16,100.3
43.85,100.5
45.6,100.7
47.43,100.9
49.32,101.1
51.3,101.2
53.35,101.4
55.49,101.6
57.71,101.7
60.02,101.9
62.42,102
64.92,102.1
67.52,102.3
70.22,102.4
73.03,102.5
75.95,102.6
78.99,102.7
82.16,102.8
85.45,102.8
88.87,102.9
92.42,103
96.12,103
99.97,103.1
103.97,103.1
108.13,103.1
112.46,103.1
116.96,103.1
121.64,103
126.51,103
131.58,102.9
136.84,102.7
142.32,102.6
148.02,102.3
153.94,102.1
160.1,101.7
166.51,101.4
173.18,100.9
180.11,100.4
187.32,99.8
194.82,99.2
202.62,98.5
210.73,97.8
219.16,97
227.93,96.2
237.06,95.3
246.55,94.5
256.41,93.5
266.68,92.6
277.35,91.7
288.45,90.7
300,89.7
