# default s1 group delay
freq,value
20,0
20.8,0
21.63,0
22.5,0
23.4,0
24.34,0
25.31,0
26.32,0
27.38,0
28.47,0
29.61,0
30.8,0
32.03,0
33.31,0
34.65,0.11
36.03,0.25
37.48,0.37
38.98,0.48
40.54,0.57
42.16,0.66
43.85,0.73
45.6,0.79
47.43,0.85
49.32,0.89
51.3,0.93
53.35,0.96
55.49,0.99
57.71,1.01
60.02,1.02
62.42,1.04
64.92,1.04
67.52,1.05
70.22,1.05
73.03,1.05
75.95,1.05
78.99,1.04
82.16,1.03
85.45,1.03
88.87,1.02
92.42,1.01
96.12,1
99.97,0.99
103.97,0.98
108.13,0.97
112.46,0.96
116.96,0.95
121.64,0.94
126.51,0.92
131.58,0.9
136.84,0.87
142.32,0.84
148.02,0.79
153.94,0.71
160.1,0.61
166.51,0.46
173.18,0.23
180.11,0
187.32,0
194.82,0
202.62,0
210.73,0
219.16,0
227.93,0
237.06,0
246.55,0
256.41,0
266.68,0
277.35,0
288.45,0
300,0
