# default s1 power compression
freq,value
20,84
20.8,84.3
21.63,84.6
22.5,84.9
23.4,85.2
24.34,85.5
25.31,85.8
26.32,86.1
27.38,86.4
28.47,86.7
29.61,86.9
30.8,87.2
32.03,87.5
33.31,87.8
34.65,88
36.03,88.3
37.48,88.6
38.98,88.8
40.54,89
42.16,89.3
43.85,89.5
45.6,89.7
47.43,90
49.32,90.2
51.3,90.4
53.35,90.6
55.49,90.8
57.71,91
60.02,91.2
62.42,91.3
64.92,91.5
67.52,91.7
70.22,91.8
73.03,91.9
75.95,92.1
78.99,92.2
82.16,92.3
85.45,92.4
88.87,92.6
92.42,92.6
96.12,92.7
99.97,92.8
103.97,92.9
108.13,92.9
112.46,93
116.96,93
121.64,93.1
126.51,93.1
131.58,93.1
136.84,93
142.32,93
148.02,92.9
153.94,92.7
160.1,92.6
166.51,92.4
173.18,92.1
180.11,91.8
187.32,91.5
194.82,91
202.62,90.5
210.73,90
219.16,89.4
227.93,88.7
237.06,88
246.55,87.2
256.41,86.4
266.68,85.6
277.35,84.7
288.45,83.8
300,82.9
