# default s1 SPL
freq,value
20,86.1
20.8,86.4
21.63,86.7
22.5,87.1
23.4,87.4
24.34,87.7
25.31,88
26.32,88.3
27.38,88.6
28.47,88.9
29.61,89.2
30.8,89.5
32.03,89.8
33.31,90.1
34.65,90.4
36.03,90.6
37.48,90.9
38.98,91.2
40.54,91.5
42.16,91.7
43.85,92
45.6,92.3
47.43,92.5
49.32,92.8
51.3,93
53.35,93.2
55.49,93.5
57.71,93.7
60.02,93.9
62.42,94.1
64.92,94.3
67.52,94.5
70.22,94.7
73.03,94.9
75.95,95.1
78.99,95.2
82.16,95.4
85.45,95.5
88.87,95.7
92.42,95.8
96.12,95.9
99.97,96.1
103.97,96.2
108.13,96.3
112.46,96.3
116.96,96.4
121.64,96.5
126.51,96.5
131.58,96.5
136.84,96.5
142.32,96.5
148.02,96.4
153.94,96.3
160.1,96.2
166.51,96
173.18,95.8
180.11,95.5
187.32,95.2
194.82,94.7
202.62,94.3
210.73,93.7
219.16,93.1
227.93,92.5
237.06,91.8
246.55,91
256.41,90.2
266.68,89.4
277.35,88.5
288.45,87.7
300,86.7
