# default klp SPL
freq,value
20,90
20.8,90.2
21.63,90.2
22.5,90.8
23.4,90.9
24.34,91.3
25.31,91.8
26.32,91.8
27.38,92.2
28.47,92.4
29.61,92.6
30.8,93.1
32.03,93.4
33.31,93.2
34.65,93.6
36.03,94.3
37.48,94.1
38.98,94.5
40.54,94.9
42.16,94.7
43.85,95.1
45.6,95.4
47.43,95.8
49.32,95.8
51.3,95.9
53.35,96.4
55.49,96.2
57.71,96.6
60.02,96.7
62.42,96.8
64.92,97.1
67.52,97.3
70.22,97.4
73.03,97
75.95,97.2
78.99,97.5
82.16,97.8
85.45,97.7
88.87,97.7
92.42,98.1
96.12,98.4
99.97,98.6
103.97,98.4
108.13,98.7
112.46,98.9
116.96,98.6
121.64,98.6
126.51,98.8
131.58,99
136.84,98.8
142.32,99.4
148.02,99.1
153.94,99.1
160.1,99
166.51,99
173.18,99.4
180.11,99
187.32,99.1
194.82,99
202.62,98.4
210.73,98.1
219.16,98.1
227.93,97.4
237.06,97.1
246.55,96.6
256.41,96.4
266.68,95.6
277.35,95.1
288.45,94
300,93.5
