# default s1 impedance
freq,value
20,3.44
20.8,3.45
21.63,3.46
22.5,3.47
23.4,3.49
24.34,3.5
25.31,3.52
26.32,3.55
27.38,3.58
28.47,3.62
29.61,3.66
30.8,3.72
32.03,3.79
33.31,3.88
34.65,3.99
36.03,4.12
37.48,4.28
38.98,4.47
40.54,4.71
42.16,5
43.85,5.35
45.6,5.76
47.43,6.25
49.32,6.82
51.3,7.47
53.35,8.2
55.49,9
57.71,9.85
60.02,10.73
62.42,11.58
64.92,12.36
67.52,13
70.22,13.44
73.03,13.6
75.95,13.44
78.99,12.94
82.16,12.1
85.45,11
88.87,9.71
92.42,8.36
96.12,7.06
99.97,5.93
103.97,5.02
108.13,4.35
112.46,3.91
116.96,3.65
121.64,3.51
126.51,3.44
131.58,3.41
136.84,3.4
142.32,3.4
148.02,3.4
153.94,3.4
160.1,3.4
166.51,3.4
173.18,3.4
180.11,3.4
187.32,3.4
194.82,3.4
202.62,3.4
210.73,3.4
219.16,3.4
227.93,3.4
237.06,3.4
246.55,3.4
256.41,3.4
266.68,3.4
277.35,3.4
288.45,3.4
300,3.4
