# default s1 impedance
freq,value
20,3.41
20.8,3.41
21.63,3.42
22.5,3.42
23.4,3.42
24.34,3.42
25.31,3.43
26.32,3.43
27.38,3.44
28.47,3.45
29.61,3.45
30.8,3.46
32.03,3.48
33.31,3.49
34.65,3.51
36.03,3.53
37.48,3.56
38.98,3.59
40.54,3.63
42.16,3.68
43.85,3.74
45.6,3.82
47.43,3.91
49.32,4.02
51.3,4.16
53.35,4.33
55.49,4.54
57.71,4.8
60.02,5.1
62.42,5.47
64.92,5.91
67.52,6.42
70.22,7.01
73.03,7.69
75.95,8.44
78.99,9.26
82.16,10.13
85.45,11
88.87,11.84
92.42,12.58
96.12,13.16
99.97,13.52
103.97,13.59
108.13,13.32
112.46,12.71
116.96,11.78
121.64,10.61
126.51,9.29
131.58,7.94
136.84,6.69
142.32,5.62
148.02,4.78
153.94,4.19
160.1,3.81
166.51,3.59
173.18,3.48
180.11,3.43
187.32,3.41
194.82,3.4
202.62,3.4
210.73,3.4
219.16,3.4
227.93,3.4
237.06,3.4
246.55,3.4
256.41,3.4
266.68,3.4
277.35,3.4
288.45,3.4
300,3.4
