# default rew impedance
freq,value
20,6.82
20.8,6.84
21.63,6.87
22.5,6.93
23.4,7.04
24.34,7.25
25.31,7.59
26.32,8.16
27.38,9.07
28.47,10.41
29.61,12.27
30.8,14.65
32.03,17.35
33.31,20.02
34.65,22.14
36.03,23.19
37.48,22.99
38.98,21.82
40.54,20.35
42.16,19.12
43.85,18.15
45.6,16.97
47.43,15.16
49.32,12.87
51.3,10.57
53.35,8.78
55.49,7.65
57.71,7.1
60.02,6.88
62.42,6.82
64.92,6.8
67.52,6.8
70.22,6.8
73.03,6.8
75.95,6.8
78.99,6.8
82.16,6.8
85.45,6.8
88.87,6.8
92.42,6.8
96.12,6.8
99.97,6.8
103.97,6.8
108.13,6.8
112.46,6.8
116.96,6.8
121.64,6.8
126.51,6.8
131.58,6.8
136.84,6.8
142.32,6.8
148.02,6.8
153.94,6.8
160.1,6.8
166.51,6.8
173.18,6.8
180.11,6.8
187.32,6.8
194.82,6.8
202.62,6.8
210.73,6.8
219.16,6.8
227.93,6.8
237.06,6.8
246.55,6.8
256.41,6.8
266.68,6.8
277.35,6.8
288.45,6.8
300,6.8
