# default rew SPL
freq,value
20,74.6
20.8,76.1
21.63,77.6
22.5,79.6
23.4,81.1
24.34,82.4
25.31,84.3
26.32,85.9
27.38,87.5
28.47,88.8
29.61,90.5
30.8,92.1
32.03,93.7
33.31,95.4
34.65,96.6
36.03,97.4
37.48,98.7
38.98,99.6
40.54,100.2
42.16,101.3
43.85,101.3
45.6,102
47.43,102.3
49.32,102.7
51.3,102.4
53.35,102.6
55.49,102.6
57.71,102.7
60.02,102.8
62.42,103.1
64.92,102.8
67.52,102.9
70.22,102.5
73.03,102.6
75.95,102.6
78.99,102.8
82.16,102.8
85.45,102.3
88.87,102.2
92.42,102.3
96.12,102
99.97,102.2
103.97,101.6
108.13,101.1
112.46,100.4
116.96,99.6
121.64,99.1
126.51,98
131.58,97.2
136.84,95.7
142.32,94.7
148.02,93.7
153.94,92.5
160.1,91.3
166.51,90.1
173.18,87.9
180.11,86.3
187.32,84.6
194.82,82.5
202.62,80.7
210.73,78.4
219.16,76.7
227.93,74.5
237.06,73
246.55,71.1
256.41,69
266.68,67
277.35,64.8
288.45,62.8
300,60.6
