# default rew SPL
freq,value
20,84
20.8,85.6
21.63,87.3
22.5,88.8
23.4,90
24.34,91.7
25.31,93.2
26.32,94.5
27.38,95.9
28.47,97.1
29.61,98
30.8,99.3
32.03,99.6
33.31,100.6
34.65,100.8
36.03,101.3
37.48,101.5
38.98,101.7
40.54,101.8
42.16,102.1
43.85,102.2
45.6,102
47.43,102.2
49.32,102
51.3,102
53.35,102.2
55.49,102.4
57.71,102.2
60.02,102.2
62.42,102.2
64.92,101.7
67.52,101.7
70.22,101.6
73.03,101.7
75.95,101.4
78.99,100.3
82.16,100.5
85.45,99.6
88.87,99.8
92.42,98.9
96.12,98.3
99.97,98.2
103.97,97
108.13,96
112.46,94.7
116.96,93.5
121.64,91.9
126.51,90.7
131.58,88.5
136.84,87.1
142.32,85.4
148.02,83.6
153.94,81.8
160.1,80.3
166.51,78.4
173.18,76.6
180.11,74.5
187.32,72.6
194.82,70.1
202.62,68.2
210.73,65.9
219.16,64
227.93,62.4
237.06,60.3
246.55,58.1
256.41,55.9
266.68,53.5
277.35,51.6
288.45,50.2
300,48.4
