# default s1 group delay
freq,value
20,0
20.8,0
21.63,0
22.5,0
23.4,0
24.34,1.35
25.31,4.87
26.32,7.93
27.38,10.46
28.47,12.48
29.61,13.91
30.8,14.71
32.03,14.9
33.31,14.52
34.65,13.76
36.03,12.75
37.48,11.65
38.98,10.57
40.54,9.57
42.16,8.69
43.85,7.92
45.6,7.28
47.43,6.74
49.32,6.3
51.3,5.93
53.35,5.64
55.49,5.4
57.71,5.21
60.02,5.07
62.42,4.97
64.92,4.9
67.52,4.87
70.22,4.9
73.03,5.25
75.95,4.89
78.99,3.63
82.16,3.31
85.45,3.67
88.87,3.78
92.42,3.86
96.12,3.9
99.97,3.85
103.97,3.69
108.13,3.37
112.46,2.88
116.96,2.21
121.64,1.39
126.51,0.47
131.58,0
136.84,0
142.32,0
148.02,0
153.94,0
160.1,0
166.51,0
173.18,0
180.11,0
187.32,0
194.82,0
202.62,0
210.73,0
219.16,0
227.93,0
237.06,0
246.55,0
256.41,0
266.68,0
277.35,0
288.45,0
300,0
