# default s1 phase
freq,value
20,86.4
20.8,97.5
21.63,103.3
22.5,106.7
23.4,108.4
24.34,108.6
25.31,107.5
26.32,105.1
27.38,101.5
28.47,97
29.61,91.5
30.8,85.3
32.03,78.7
33.31,71.8
34.65,65
36.03,58.4
37.48,52
38.98,46
40.54,40.3
42.16,35
43.85,30
45.6,25.2
47.43,20.6
49.32,16.1
51.3,11.8
53.35,7.5
55.49,3.3
57.71,-1
60.02,-5.2
62.42,-9.5
64.92,-14
67.52,-18.5
70.22,-23.1
73.03,-27.9
75.95,-32.9
78.99,-38.4
82.16,-44.2
85.45,-49.4
88.87,-54.3
92.42,-58.9
96.12,-63.3
99.97,-67.5
103.97,-71.5
108.13,-75.4
112.46,-79.2
116.96,-82.7
121.64,-85.9
126.51,-88.5
131.58,-90.2
136.84,-90.4
142.32,-88.7
148.02,-84.8
153.94,-78.5
160.1,-69.9
166.51,-59
173.18,-45.6
180.11,-28.6
187.32,-1.3
194.82,0
202.62,0
210.73,0
219.16,0
227.93,0
237.06,0
246.55,0
256.41,0
266.68,0
277.35,0
288.45,0
300,0
