# default s1 SPL 2x
freq,value
20,80.3
20.8,82
21.63,83.7
22.5,85.4
23.4,87
24.34,88.7
25.31,90.3
26.32,92
27.38,93.6
28.47,95.1
29.61,96.6
30.8,98.1
32.03,99.4
33.31,100.6
34.65,101.7
36.03,102.6
37.48,103.3
38.98,103.9
40.54,104.3
42.16,104.6
43.85,104.8
45.6,104.9
47.43,105
49.32,105
51.3,105
53.35,105
55.49,105
57.71,104.9
60.02,104.8
62.42,104.8
64.92,104.7
67.52,104.6
70.22,104.4
73.03,104.3
75.95,104.1
78.99,103.9
82.16,103.7
85.45,103.5
88.87,103.2
92.42,103.1
96.12,102.8
99.97,102.3
103.97,101.7
108.13,100.9
112.46,100
116.96,99
121.64,97.8
126.51,96.6
131.58,95.2
136.84,93.9
142.32,92.5
148.02,91
153.94,89.6
160.1,88
166.51,86.4
173.18,84.6
180.11,82.6
187.32,80.5
194.82,78.4
202.62,76.2
210.73,74.2
219.16,72.4
227.93,70.6
237.06,68.8
246.55,66.8
256.41,64.6
266.68,62.3
277.35,60.1
288.45,58.1
300,56.3
