# default rew SPL
freq,value
20,94.6
20.8,96.5
21.63,97.6
22.5,99.3
23.4,100.7
24.34,102.2
25.31,104
26.32,105.3
27.38,106.3
28.47,107.5
29.61,108.4
30.8,109.5
32.03,110.3
33.31,110.8
34.65,111.3
36.03,111.4
37.48,111.4
38.98,111.9
40.54,111.5
42.16,111.8
43.85,112.1
45.6,111.6
47.43,111.9
49.32,111.7
51.3,111.9
53.35,111.8
55.49,112
57.71,111.9
60.02,111.5
62.42,111.6
64.92,111.7
67.52,111.4
70.22,111.2
73.03,111
75.95,110.9
78.99,109.8
82.16,109.6
85.45,108.8
88.87,108.4
92.42,107.9
96.12,107.3
99.97,106.5
103.97,105.9
108.13,104.9
112.46,103.5
116.96,102.4
121.64,101
126.51,98.9
131.58,97.2
136.84,95.6
142.32,93.6
148.02,91.8
153.94,90
160.1,87.8
166.51,86.2
173.18,84.5
180.11,82.5
187.32,80.3
194.82,78
202.62,76.3
210.73,74.1
219.16,71.9
227.93,70.2
237.06,68.3
246.55,66.6
256.41,64.1
266.68,62
277.35,60
288.45,57.9
300,56.4
