# default s1 SPL 2x
freq,value
20,99.5
20.8,101.1
21.63,102.8
22.5,104.4
23.4,106
24.34,107.5
25.31,109
26.32,110.4
27.38,111.7
28.47,112.8
29.61,113.8
30.8,114.7
32.03,115.4
33.31,115.9
34.65,116.3
36.03,116.5
37.48,116.7
38.98,116.8
40.54,116.8
42.16,116.9
43.85,116.8
45.6,116.8
47.43,116.8
49.32,116.7
51.3,116.6
53.35,116.5
55.49,116.4
57.71,116.3
60.02,116.2
62.42,116.1
64.92,115.9
67.52,115.7
70.22,115.5
73.03,115.2
75.95,114.9
78.99,114.2
82.16,113.7
85.45,113.1
88.87,112.5
92.42,111.8
96.12,111.1
99.97,110.3
103.97,109.4
108.13,108.4
112.46,107.2
116.96,105.9
121.64,104.4
126.51,102.7
131.58,100.8
136.84,98.9
142.32,96.9
148.02,95
153.94,93.2
160.1,91.4
166.51,89.7
173.18,87.9
180.11,86
187.32,83.8
194.82,81.6
202.62,79.3
210.73,77.2
219.16,75.3
227.93,73.6
237.06,71.7
246.55,69.6
256.41,67.3
266.68,65
277.35,63
288.45,61.3
300,59.4
