# default s1 SPL
freq,value
20,93.8
20.8,95.4
21.63,97.1
22.5,98.7
23.4,100.3
24.34,101.9
25.31,103.4
26.32,104.8
27.38,106.2
28.47,107.4
29.61,108.4
30.8,109.3
32.03,110
33.31,110.5
34.65,111
36.03,111.3
37.48,111.5
38.98,111.6
40.54,111.7
42.16,111.8
43.85,111.9
45.6,111.9
47.43,111.9
49.32,111.9
51.3,111.9
53.35,111.8
55.49,111.8
57.71,111.7
60.02,111.7
62.42,111.6
64.92,111.5
67.52,111.3
70.22,111.2
73.03,110.9
75.95,110.7
78.99,110.1
82.16,109.6
85.45,109.1
88.87,108.5
92.42,107.9
96.12,107.2
99.97,106.5
103.97,105.7
108.13,104.7
112.46,103.6
116.96,102.2
121.64,100.8
126.51,99.1
131.58,97.3
136.84,95.4
142.32,93.4
148.02,91.5
153.94,89.8
160.1,88
166.51,86.3
173.18,84.6
180.11,82.6
187.32,80.5
194.82,78.3
202.62,76
210.73,74
219.16,72.1
227.93,70.4
237.06,68.5
246.55,66.4
256.41,64.1
266.68,61.8
277.35,59.9
288.45,58.1
300,56.3
