# alt-18s hr SPL
freq,value
20,74.5
20.8,76.2
21.63,77.9
22.5,79.6
23.4,81.3
24.34,83
25.31,84.7
26.32,86.3
27.38,87.9
28.47,89.5
29.61,91
30.8,92.5
32.03,93.9
33.31,95.1
34.65,96.2
36.03,97.1
37.48,97.9
38.98,98.5
40.54,99
42.16,99.4
43.85,99.6
45.6,99.8
47.43,99.9
49.32,100
51.3,100
53.35,100.1
55.49,100.1
57.71,100.1
60.02,100
62.42,100
64.92,100
67.52,99.9
70.22,99.9
73.03,99.8
75.95,99.7
78.99,99.6
82.16,99.4
85.45,99.2
88.87,99
92.42,99
96.12,98.7
99.97,98.2
103.97,97.7
108.13,96.9
112.46,96.1
116.96,95.1
121.64,94
126.51,92.8
131.58,91.5
136.84,90.2
142.32,88.9
148.02,87.5
153.94,86.1
160.1,84.6
166.51,82.9
173.18,81.1
180.11,79.1
187.32,77
194.82,74.9
202.62,72.9
210.73,70.9
219.16,69.1
227.93,67.4
237.06,65.5
246.55,63.5
256.41,61.3
266.68,59
277.35,56.9
288.45,55
300,53.2
