# default s1 SPL
freq,value
20,87.4
20.8,88.1
21.63,88.7
22.5,89.3
23.4,89.9
24.34,90.4
25.31,91
26.32,91.5
27.38,92
28.47,92.5
29.61,93
30.8,93.5
32.03,93.9
33.31,94.3
34.65,94.7
36.03,95.1
37.48,95.4
38.98,95.7
40.54,96
42.16,96.2
43.85,96.5
45.6,96.7
47.43,96.8
49.32,97
51.3,97.1
53.35,97.3
55.49,97.4
57.71,97.5
60.02,97.6
62.42,97.6
64.92,97.7
67.52,97.8
70.22,97.8
73.03,97.8
75.95,97.9
78.99,97.9
82.16,97.9
85.45,98
88.87,98
92.42,98
96.12,97.9
99.97,98.1
103.97,98.2
108.13,98.3
112.46,98.4
116.96,98.4
121.64,98.4
126.51,98.3
131.58,98.2
136.84,98
142.32,97.8
148.02,97.6
153.94,97.5
160.1,97.5
166.51,97.5
173.18,97.6
180.11,97.7
187.32,97.7
194.82,97.6
202.62,97.4
210.73,97
219.16,96.5
227.93,96
237.06,95.6
246.55,95.4
256.41,95.1
266.68,94.7
277.35,94.1
288.45,93.2
300,92.3
