# default s1 phase
freq,value
20,36.4
20.8,40.4
21.63,42.6
22.5,44
23.4,44.8
24.34,45.3
25.31,45.4
26.32,45.2
27.38,44.7
28.47,44
29.61,43.2
30.8,42.2
32.03,41
33.31,39.8
34.65,38.4
36.03,37.1
37.48,35.6
38.98,34.2
40.54,32.7
42.16,31.2
43.85,29.8
45.6,28.4
47.43,27
49.32,25.7
51.3,24.4
53.35,23.1
55.49,21.9
57.71,20.7
60.02,19.6
62.42,18.5
64.92,17.5
67.52,16.5
70.22,15.6
73.03,14.8
75.95,14
78.99,13.3
82.16,13.1
85.45,12.5
88.87,11.1
92.42,9.6
96.12,8
99.97,6.3
103.97,4.8
108.13,3.4
112.46,2.4
116.96,1.9
121.64,1.8
126.51,2
131.58,2.4
136.84,2.8
142.32,2.8
148.02,2.2
153.94,1
160.1,-0.6
166.51,-2.3
173.18,-3.4
180.11,-3.3
187.32,-0.2
194.82,0
202.62,0
210.73,0
219.16,0
227.93,0
237.06,0
246.55,0
256.41,0
266.68,0
277.35,0
288.45,0
300,0
