# default s1 SPL 4x
freq,value
20,105.5
20.8,105.9
21.63,106.3
22.5,106.7
23.4,107.1
24.34,107.4
25.31,107.7
26.32,107.9
27.38,108.2
28.47,108.4
29.61,108.5
30.8,108.7
32.03,108.8
33.31,108.9
34.65,109
36.03,109
37.48,109
38.98,109
40.54,109
42.16,109
43.85,109
45.6,108.9
47.43,108.9
49.32,108.8
51.3,108.7
53.35,108.6
55.49,108.6
57.71,108.5
60.02,108.4
62.42,108.3
64.92,108.2
67.52,108
70.22,108.1
73.03,108.1
75.95,108.1
78.99,108.1
82.16,108
85.45,107.8
88.87,107.6
92.42,107.4
96.12,107.1
99.97,106.8
103.97,106.6
108.13,106.4
112.46,106.3
116.96,106.3
121.64,106.4
126.51,106.4
131.58,106.4
136.84,106.2
142.32,105.9
148.02,105.4
153.94,104.8
160.1,104.3
166.51,104
173.18,103.7
180.11,103.5
187.32,103.1
194.82,102.4
202.62,101.4
210.73,100.4
219.16,99.6
227.93,99
237.06,98.4
246.55,97.6
256.41,96.4
266.68,95.1
277.35,94.3
288.45,93.6
300,92.8
