# default klp SPL
freq,value
20,91.4
20.8,92.2
21.63,92.7
22.5,92.7
23.4,93.5
24.34,94.2
25.31,94.3
26.32,94.9
27.38,95.4
28.47,95.4
29.61,96
30.8,96.2
32.03,96.7
33.31,96.9
34.65,97.2
36.03,97.5
37.48,97.6
38.98,97.7
40.54,98
42.16,98
43.85,98.3
45.6,98.3
47.43,98.8
49.32,98.7
51.3,99
53.35,98.9
55.49,98.9
57.71,99.2
60.02,98.8
62.42,99.3
64.92,98.9
67.52,98.9
70.22,99
73.03,99.1
75.95,99.1
78.99,99.6
82.16,99.6
85.45,99.2
88.87,99.6
92.42,99.9
96.12,99.8
99.97,99.6
103.97,99.6
108.13,99.6
112.46,99.5
116.96,99.1
121.64,99
126.51,98.9
131.58,99.1
136.84,99
142.32,99.3
148.02,99.1
153.94,99.1
160.1,99.2
166.51,99.4
173.18,98.9
180.11,98.4
187.32,97.9
194.82,97.9
202.62,97.3
210.73,97.1
219.16,96.9
227.93,96.9
237.06,96.3
246.55,95.5
256.41,94.4
266.68,93.4
277.35,93.3
288.45,92.6
300,92
