# default rew SPL
freq,value
20,91.9
20.8,92.4
21.63,93.2
22.5,93.8
23.4,94.1
24.34,94.4
25.31,94.8
26.32,95.2
27.38,95.8
28.47,96.2
29.61,96.4
30.8,96.7
32.03,97.3
33.31,97.6
34.65,97.8
36.03,97.9
37.48,98.5
38.98,98.5
40.54,98.6
42.16,99.2
43.85,99.3
45.6,99.7
47.43,99.6
49.32,99.7
51.3,99.7
53.35,100.1
55.49,100.2
57.71,99.8
60.02,100.2
62.42,100.4
64.92,100.3
67.52,100.5
70.22,100.4
73.03,100.5
75.95,100.3
78.99,100.7
82.16,100.6
85.45,100.5
88.87,100.7
92.42,100.9
96.12,101
99.97,100.8
103.97,100.7
108.13,100.9
112.46,100.8
116.96,100.6
121.64,100.4
126.51,100.2
131.58,100.1
136.84,100.3
142.32,99.8
148.02,100.3
153.94,99.9
160.1,100.3
166.51,100.5
173.18,100.6
180.11,100.4
187.32,99.8
194.82,99.6
202.62,99.2
210.73,98.9
219.16,98.5
227.93,98.3
237.06,97.7
246.55,97.5
256.41,96.6
266.68,95.7
277.35,95.2
288.45,94.4
300,93.4
