# default s1 phase
freq,value
20,40.1
20.8,44.4
21.63,46.9
22.5,48.5
23.4,49.6
24.34,50.3
25.31,50.6
26.32,50.6
27.38,50.3
28.47,49.7
29.61,49
30.8,48
32.03,46.9
33.31,45.7
34.65,44.4
36.03,42.9
37.48,41.4
38.98,39.9
40.54,38.3
42.16,36.7
43.85,35.1
45.6,33.6
47.43,32
49.32,30.5
51.3,29
53.35,27.5
55.49,26.1
57.71,24.8
60.02,23.5
62.42,22.3
64.92,21.1
67.52,19.9
70.22,18.8
73.03,17.8
75.95,16.8
78.99,15.9
82.16,15
85.45,14.3
88.87,14
92.42,13.3
96.12,12
99.97,10.5
103.97,8.8
108.13,7.2
112.46,5.5
116.96,4.1
121.64,3.1
126.51,2.4
131.58,2.2
136.84,2.4
142.32,2.8
148.02,3.2
153.94,3.2
160.1,2.8
166.51,1.8
173.18,0.5
180.11,-0.7
187.32,-0.1
194.82,0
202.62,0
210.73,0
219.16,0
227.93,0
237.06,0
246.55,0
256.41,0
266.68,0
277.35,0
288.45,0
300,0
