# default s1 SPL
freq,value
20,96.6
20.8,97.1
21.63,97.6
22.5,98
23.4,98.5
24.34,98.9
25.31,99.3
26.32,99.7
27.38,100.1
28.47,100.4
29.61,100.7
30.8,100.9
32.03,101.2
33.31,101.4
34.65,101.6
36.03,101.8
37.48,101.9
38.98,102.1
40.54,102.2
42.16,102.3
43.85,102.4
45.6,102.5
47.43,102.6
49.32,102.6
51.3,102.7
53.35,102.7
55.49,102.8
57.71,102.8
60.02,102.8
62.42,102.9
64.92,102.9
67.52,102.9
70.22,102.9
73.03,103.1
75.95,103.2
78.99,103.3
82.16,103.3
85.45,103.3
88.87,103.3
92.42,103.2
96.12,103
99.97,102.8
103.97,102.6
108.13,102.5
112.46,102.4
116.96,102.4
121.64,102.5
126.51,102.7
131.58,102.8
136.84,102.8
142.32,102.7
148.02,102.4
153.94,102
160.1,101.6
166.51,101.1
173.18,100.8
180.11,100.6
187.32,100.4
194.82,100.1
202.62,99.5
210.73,98.7
219.16,97.7
227.93,96.9
237.06,96.3
246.55,95.8
256.41,95.1
266.68,94
277.35,92.8
288.45,91.8
300,91.1
