# default s1 SPL
freq,value
20,97.1
20.8,97.7
21.63,98.2
22.5,98.7
23.4,99.2
24.34,99.6
25.31,100
26.32,100.4
27.38,100.8
28.47,101.1
29.61,101.5
30.8,101.7
32.03,102
33.31,102.3
34.65,102.5
36.03,102.7
37.48,102.8
38.98,103
40.54,103.1
42.16,103.2
43.85,103.3
45.6,103.4
47.43,103.5
49.32,103.6
51.3,103.6
53.35,103.7
55.49,103.7
57.71,103.8
60.02,103.8
62.42,103.8
64.92,103.9
67.52,103.9
70.22,103.9
73.03,103.9
75.95,103.9
78.99,103.8
82.16,103.7
85.45,103.6
88.87,103.5
92.42,103.5
96.12,103.6
99.97,103.7
103.97,103.9
108.13,104
112.46,104.1
116.96,104.2
121.64,104.2
126.51,104
131.58,103.8
136.84,103.5
142.32,103.2
148.02,103
153.94,102.8
160.1,102.8
166.51,102.8
173.18,102.7
180.11,102.4
187.32,101.9
194.82,101.2
202.62,100.4
210.73,99.8
219.16,99.3
227.93,98.9
237.06,98.4
246.55,97.5
256.41,96.4
266.68,95.3
277.35,94.5
288.45,93.9
300,93.1
