# default rew SPL
freq,value
20,92.1
20.8,92.5
21.63,93.3
22.5,93.8
23.4,93.8
24.34,94
25.31,94.9
26.32,94.9
27.38,95.2
28.47,95.7
29.61,95.7
30.8,96.2
32.03,96.4
33.31,96.9
34.65,96.8
36.03,97.5
37.48,97.6
38.98,97.5
40.54,97.6
42.16,97.7
43.85,97.8
45.6,97.9
47.43,98.1
49.32,98.1
51.3,98.5
53.35,98.7
55.49,98.4
57.71,98.2
60.02,98.6
62.42,98.5
64.92,98.6
67.52,98.5
70.22,98.8
73.03,98.6
75.95,98.8
78.99,98.3
82.16,98.3
85.45,98.1
88.87,98.6
92.42,98.5
96.12,98.6
99.97,98.7
103.97,98.7
108.13,98.6
112.46,98.7
116.96,99.1
121.64,99.2
126.51,98.9
131.58,98.8
136.84,98.4
142.32,98.1
148.02,97.7
153.94,97.7
160.1,97.5
166.51,97.6
173.18,97.7
180.11,97.8
187.32,97.3
194.82,96.9
202.62,96
210.73,95.1
219.16,94.6
227.93,94.7
237.06,93.7
246.55,93.5
256.41,92.2
266.68,91.1
277.35,90.1
288.45,89.7
300,89.1
