# default s1 phase
freq,value
20,32.9
20.8,36.6
21.63,38.5
22.5,39.7
23.4,40.4
24.34,40.6
25.31,40.6
26.32,40.2
27.38,39.6
28.47,38.9
29.61,38
30.8,36.9
32.03,35.7
33.31,34.5
34.65,33.2
36.03,31.9
37.48,30.5
38.98,29.1
40.54,27.8
42.16,26.4
43.85,25.1
45.6,23.8
47.43,22.6
49.32,21.3
51.3,20.1
53.35,19
55.49,17.9
57.71,16.8
60.02,15.7
62.42,14.7
64.92,13.7
67.52,12.7
70.22,11.6
73.03,10.5
75.95,8.9
78.99,8
82.16,8.1
85.45,8.1
88.87,8.3
92.42,8.4
96.12,8.3
99.97,8
103.97,7.4
108.13,6.3
112.46,4.7
116.96,2.9
121.64,1
126.51,-0.8
131.58,-2.2
136.84,-2.9
142.32,-2.9
148.02,-2.4
153.94,-1.7
160.1,-1.2
166.51,-1.1
173.18,-1.7
180.11,-2.1
187.32,-0.2
194.82,0
202.62,0
210.73,0
219.16,0
227.93,0
237.06,0
246.55,0
256.41,0
266.68,0
277.35,0
288.45,0
300,0
