# default s1 SPL
freq,value
20,91.3
20.8,91.8
21.63,92.3
22.5,92.9
23.4,93.4
24.34,93.8
25.31,94.3
26.32,94.7
27.38,95.1
28.47,95.5
29.61,95.8
30.8,96.2
32.03,96.5
33.31,96.7
34.65,97
36.03,97.2
37.48,97.4
38.98,97.6
40.54,97.7
42.16,97.9
43.85,98
45.6,98.1
47.43,98.2
49.32,98.3
51.3,98.4
53.35,98.4
55.49,98.5
57.71,98.5
60.02,98.6
62.42,98.6
64.92,98.6
67.52,98.6
70.22,98.7
73.03,98.7
75.95,98.7
78.99,98.4
82.16,98.4
85.45,98.3
88.87,98.3
92.42,98.4
96.12,98.5
99.97,98.6
103.97,98.7
108.13,98.9
112.46,99
116.96,99
121.64,99
126.51,98.8
131.58,98.6
136.84,98.3
142.32,98.1
148.02,97.9
153.94,97.8
160.1,97.8
166.51,97.8
173.18,97.8
180.11,97.6
187.32,97.2
194.82,96.6
202.62,95.9
210.73,95.3
219.16,94.8
227.93,94.4
237.06,94
246.55,93.3
256.41,92.3
266.68,91.2
277.35,90.3
288.45,89.6
300,89
