# 1U ground-plane measurement, REW, gated 10 ms @1m
freq,value
20.0,69.8
21.0,71.2
22.0,72.7
23.0,74.4
24.0,76.3
25.0,78.4
26.0,80.6
27.0,82.9
28.0,85.2
29.0,87.4
30.0,89.5
31.0,91.2
32.0,92.8
33.0,94.1
34.0,95.2
35.0,96.1
36.0,96.9
37.0,97.6
38.0,98.2
39.0,98.6
40.0,98.8
41.5,99.0
43.0,99.3
44.5,99.6
46.0,99.9
47.5,100.1
49.0,100.3
50.5,100.4
52.0,100.3
54.0,100.1
56.0,99.7
58.0,99.1
60.0,98.3
62.0,97.3
64.0,96.1
66.0,94.7
68.0,93.0
70.0,91.0
72.0,88.7
74.0,86.1
76.0,83.2
78.0,80.0
80.0,76.5
82.0,72.7
84.0,68.6
86.0,64.3
88.0,59.9
90.0,55.4
95.0,47.8
100.0,41.7
110.0,34.5
120.0,31.0
