# 1U impedance, REW measurement
freq,value
20.0,8.2
21.0,8.5
22.0,9.0
23.0,9.8
24.0,10.8
25.0,12.3
26.0,14.5
27.0,17.7
28.0,22.3
29.0,28.6
30.0,36.8
31.0,44.1
32.0,47.3
33.0,44.6
34.0,37.5
35.0,29.2
36.0,21.6
37.0,15.7
38.0,11.4
39.0,8.8
40.0,7.3
41.0,6.6
42.0,6.5
43.0,7.1
44.0,8.3
45.0,10.5
46.0,13.7
47.0,18.4
48.0,25.7
49.0,35.2
50.0,46.6
51.0,57.5
52.0,63.8
53.0,62.1
54.0,54.6
55.0,44.4
56.0,34.5
57.0,26.4
58.0,20.4
59.0,16.1
60.0,13.1
62.0,10.5
64.0,9.1
66.0,8.5
68.0,8.3
70.0,8.2
75.0,8.3
80.0,8.5
90.0,8.8
100.0,9.1
120.0,9.6
150.0,10.3
200.0,11.4
