# default s1 SPL 2x
freq,value
35,97.5
36.92,98.2
38.94,98.7
41.07,99.1
43.33,99.3
45.7,99.5
48.2,99.6
50.84,99.8
53.63,100.3
56.57,100.9
59.67,101.5
62.94,102
66.39,102.3
70.02,102.5
73.86,102.6
77.91,102.7
82.18,102.7
86.68,102.7
91.43,102.8
96.44,102.8
101.72,102.8
107.3,102.8
113.18,102.8
119.38,102.8
125.92,102.8
132.82,102.5
140.1,102.6
147.77,102.7
155.87,103
164.41,103.3
173.42,103.5
182.92,103.7
192.95,103.8
203.52,103.8
214.67,103.7
226.43,103.7
238.84,103.9
251.93,104.2
265.73,104.6
280.29,104.9
295.65,105
311.85,104.8
328.94,104.6
346.96,104.5
365.97,104.7
386.03,104.7
407.18,104.4
429.49,103.8
453.02,103.6
477.85,103.7
504.03,103.5
531.65,103.1
560.78,103.2
591.51,103.7
623.92,103.8
658.1,104.2
694.16,105
732.2,105.1
772.32,105.4
814.64,105.3
859.28,104.7
906.36,104.4
956.02,103.6
1008.41,103.8
1063.66,103.9
1121.95,104.7
1183.42,105.3
1248.27,105.3
1316.66,105
1388.81,104.1
1464.91,103.7
1545.18,104.3
1629.84,105.3
1719.15,105.5
1813.35,104.6
1912.71,103.9
2017.52,104.6
2128.06,105.5
2244.67,104.9
2367.66,103.9
2497.4,104.7
2634.24,105.4
2778.58,104.1
2930.83,104.6
3091.43,105.3
3260.82,104.1
3439.49,105
3627.96,104.7
3826.75,104.4
4036.43,105.1
4257.6,104.2
4490.9,105.2
4736.97,104.3
4996.53,104.8
5270.31,104.9
5559.09,104.2
5863.7,105.1
6185,104.9
6523.9,104.3
6881.37,104.4
7258.43,105
7656.15,105.2
8075.66,105.2
8518.16,105.1
8984.91,105.1
9477.23,105.1
9996.53,105
10544.28,104.5
11122.05,104.4
11731.47,105
12374.29,104.5
13052.33,104.7
13767.52,104.3
14521.9,104.7
15317.62,104.2
16156.94,103.8
17042.24,103.4
17976.06,102.9
18961.04,102.5
20000,101.9
