# default klp SPL
freq,value
35,86
36.92,86.8
38.94,87.5
41.07,88.2
43.33,88.8
45.7,89.5
48.2,89.8
50.84,90.1
53.63,89.9
56.57,90.1
59.67,90.9
62.94,91.6
66.39,92.1
70.02,92.9
73.86,93.4
77.91,93.9
82.18,94.3
86.68,94.3
91.43,94.9
96.44,94.9
101.72,94.8
107.3,94.9
113.18,95.1
119.38,95.4
125.92,95.6
132.82,95.5
140.1,95.1
147.77,95.1
155.87,95
164.41,94.8
173.42,95.2
182.92,95
192.95,94.7
203.52,95
214.67,95.3
226.43,95.1
238.84,95
251.93,94.5
265.73,94.6
280.29,94
295.65,94.1
311.85,93.9
328.94,94.4
346.96,94.8
365.97,94.6
386.03,94.8
407.18,94.8
429.49,95.3
453.02,96.4
477.85,96.7
504.03,96.7
531.65,96.6
560.78,97.1
591.51,97
623.92,96.8
658.1,96.4
694.16,96
732.2,95.5
772.32,95.3
814.64,95.3
859.28,95.4
906.36,97.1
956.02,97.9
1008.41,98.3
1063.66,98.2
1121.95,97.2
1183.42,96.9
1248.27,96.5
1316.66,97.2
1388.81,98.4
1464.91,99.2
1545.18,99.5
1629.84,98.4
1719.15,98.3
1813.35,99.3
1912.71,99.7
2017.52,98.8
2128.06,96.6
2244.67,96.4
2367.66,96.4
2497.4,94.8
2634.24,92.9
2778.58,93
2930.83,91.7
3091.43,89.7
3260.82,89.9
3439.49,88
3627.96,86.9
3826.75,85.7
4036.43,83.8
4257.6,83.3
4490.9,80.7
4736.97,80.3
4996.53,78.6
5270.31,77.3
5559.09,76.3
5863.7,73.9
6185,73.2
6523.9,72.4
6881.37,70.5
7258.43,68.5
7656.15,67.2
8075.66,66
8518.16,64.7
8984.91,63
9477.23,61.7
9996.53,60.5
10544.28,59.2
11122.05,58.2
11731.47,56
12374.29,55.2
13052.33,53.8
13767.52,52.7
14521.9,50.8
15317.62,49.6
16156.94,48.2
17042.24,47.2
17976.06,45.6
18961.04,44.4
20000,42.5
