# default s1 SPL
freq,value
35,84.9
36.92,85.7
38.94,86.5
41.07,87.3
43.33,88
45.7,88.6
48.2,89.1
50.84,89.5
53.63,89.8
56.57,90.2
59.67,90.7
62.94,91.4
66.39,92.2
70.02,93
73.86,93.6
77.91,94
82.18,94.3
86.68,94.5
91.43,94.7
96.44,94.8
101.72,95
107.3,95.1
113.18,95.2
119.38,95.3
125.92,95.3
132.82,95.3
140.1,95.3
147.77,95.3
155.87,95.1
164.41,95
173.42,94.9
182.92,94.8
192.95,94.9
203.52,95
214.67,95
226.43,95
238.84,94.9
251.93,94.7
265.73,94.4
280.29,94.1
295.65,94
311.85,94.1
328.94,94.4
346.96,94.7
365.97,94.8
386.03,94.8
407.18,95
429.49,95.5
453.02,96.2
477.85,96.6
504.03,96.7
531.65,96.8
560.78,97.2
591.51,97.2
623.92,96.6
658.1,96.2
694.16,96
732.2,95.4
772.32,95.1
814.64,95.5
859.28,95.7
906.36,97.1
956.02,97.9
1008.41,98.1
1063.66,98.2
1121.95,97.4
1183.42,97
1248.27,96.7
1316.66,97.4
1388.81,98.6
1464.91,99.3
1545.18,99.3
1629.84,98.7
1719.15,98.4
1813.35,99.1
1912.71,99.7
2017.52,98.5
2128.06,96.6
2244.67,96.2
2367.66,96.4
2497.4,94.7
2634.24,92.8
2778.58,93.2
2930.83,92
3091.43,89.7
3260.82,90
3439.49,87.8
3627.96,86.7
3826.75,86
4036.43,83.6
4257.6,83.4
4490.9,80.9
4736.97,80.5
4996.53,78.5
5270.31,77.2
5559.09,76.5
5863.7,74.1
6185,73.1
6523.9,72.4
6881.37,70.6
7258.43,68.7
7656.15,67.1
8075.66,65.9
8518.16,64.5
8984.91,63.1
9477.23,61.7
9996.53,60.3
10544.28,59.5
11122.05,58.3
11731.47,56.2
12374.29,55.3
13052.33,53.7
13767.52,52.5
14521.9,50.6
15317.62,49.6
16156.94,48.5
17042.24,47.1
17976.06,45.7
18961.04,44.1
20000,42.4
