# default s1 SPL
freq,value
35,93.1
36.92,93.7
38.94,94.2
41.07,94.6
43.33,94.9
45.7,95.1
48.2,95.4
50.84,95.9
53.63,96.6
56.57,97.3
59.67,98
62.94,98.4
66.39,98.7
70.02,98.9
73.86,99
77.91,99.1
82.18,99.2
86.68,99.3
91.43,99.3
96.44,99.4
101.72,99.4
107.3,99.4
113.18,99.4
119.38,99.4
125.92,99
132.82,99
140.1,99.1
147.77,99.3
155.87,99.5
164.41,99.6
173.42,99.7
182.92,99.7
192.95,99.5
203.52,99.4
214.67,99.3
226.43,99.3
238.84,99.6
251.93,100
265.73,100.4
280.29,100.6
295.65,100.6
311.85,100.6
328.94,100.8
346.96,101.3
365.97,101.7
386.03,101.7
407.18,101.5
429.49,101.4
453.02,101.6
477.85,101.5
504.03,101
531.65,100.7
560.78,100.9
591.51,100.7
623.92,100.6
658.1,101.2
694.16,101.4
732.2,101.8
772.32,102.2
814.64,101.9
859.28,101.9
906.36,101.2
956.02,101.1
1008.41,100.9
1063.66,101.5
1121.95,101.9
1183.42,102.2
1248.27,102
1316.66,101.2
1388.81,101
1464.91,101.7
1545.18,102.3
1629.84,102
1719.15,101.2
1813.35,101.3
1912.71,102.1
2017.52,102
2128.06,101.2
2244.67,101.7
2367.66,102.1
2497.4,101.3
2634.24,101.7
2778.58,102
2930.83,101.3
3091.43,102.1
3260.82,101.4
3439.49,101.9
3627.96,101.6
3826.75,101.9
4036.43,101.4
4257.6,102
4490.9,101.3
4736.97,101.9
4996.53,101.9
5270.31,101.4
5559.09,101.7
5863.7,102.1
6185,101.9
6523.9,101.7
6881.37,101.5
7258.43,101.5
7656.15,101.5
8075.66,101.7
8518.16,101.9
8984.91,102
9477.23,101.6
9996.53,101.6
10544.28,101.9
11122.05,101.4
11731.47,101.8
12374.29,101.7
13052.33,101.3
13767.52,101.3
14521.9,101.3
15317.62,101.1
16156.94,100.8
17042.24,100.7
17976.06,100.2
18961.04,99.5
20000,98.6
