# default s1 SPL
freq,value
35,86.8
36.92,87.7
38.94,88.5
41.07,89.4
43.33,90.3
45.7,91.1
48.2,92
50.84,92.8
53.63,93.5
56.57,94.2
59.67,94.8
62.94,95.3
66.39,95.7
70.02,96.1
73.86,96.6
77.91,97.4
82.18,98.3
86.68,99.2
91.43,100
96.44,100.7
101.72,101.1
107.3,101.5
113.18,101.8
119.38,102.2
125.92,102.5
132.82,102.7
140.1,103
147.77,103.2
155.87,103.5
164.41,103.7
173.42,104
182.92,104.3
192.95,104.6
203.52,105
214.67,105.4
226.43,105.7
238.84,105.8
251.93,105.9
265.73,106
280.29,106
295.65,106.1
311.85,106.2
328.94,106.4
346.96,106.5
365.97,106.4
386.03,106.1
407.18,105.6
429.49,105.2
453.02,104.9
477.85,105
504.03,105.2
531.65,105.4
560.78,105.6
591.51,105.9
623.92,106.6
658.1,107.2
694.16,107.2
732.2,106.8
772.32,106.5
814.64,106.1
859.28,105.4
906.36,105.4
956.02,106.1
1008.41,106.7
1063.66,107.2
1121.95,107.2
1183.42,106.2
1248.27,105.7
1316.66,105.7
1388.81,106.8
1464.91,107.2
1545.18,106.8
1629.84,105.7
1719.15,106
1813.35,107.1
1912.71,106.9
2017.52,105.9
2128.06,106.3
2244.67,107.2
2367.66,106.1
2497.4,106
2634.24,107.2
2778.58,106
2930.83,106.5
3091.43,106.8
3260.82,105.9
3439.49,107.1
3627.96,105.9
3826.75,107.1
4036.43,106
4257.6,106.8
4490.9,106.6
4736.97,106
4996.53,107
5270.31,106.6
5559.09,106
5863.7,106.4
6185,106.9
6523.9,107
6881.37,107
7258.43,106.8
7656.15,106.9
8075.66,107
8518.16,106.8
8984.91,106.3
9477.23,106.1
9996.53,106.9
10544.28,106.3
11122.05,106.6
11731.47,106.2
12374.29,106.8
13052.33,106.4
13767.52,106.1
14521.9,105.9
15317.62,105.8
16156.94,105.8
17042.24,105.7
17976.06,104.7
18961.04,104.6
20000,103.3
