# default s1 SPL
freq,value
35,86.7
36.92,87.4
38.94,88
41.07,88.5
43.33,88.8
45.7,89.1
48.2,89.5
50.84,90
53.63,90.8
56.57,91.7
59.67,92.4
62.94,92.9
66.39,93.3
70.02,93.6
73.86,93.8
77.91,94
82.18,94.1
86.68,94.3
91.43,94.4
96.44,94.5
101.72,94.6
107.3,94.6
113.18,94.7
119.38,94.7
125.92,95
132.82,95.1
140.1,95.1
147.77,95.1
155.87,94.9
164.41,94.7
173.42,94.4
182.92,94.2
192.95,94.1
203.52,94.2
214.67,94.3
226.43,94.4
238.84,94.4
251.93,94.3
265.73,94
280.29,93.8
295.65,93.9
311.85,94.2
328.94,94.7
346.96,94.9
365.97,94.9
386.03,95.1
407.18,95.6
429.49,96.2
453.02,96.3
477.85,96.2
504.03,96.3
531.65,96.4
560.78,95.9
591.51,95.4
623.92,95.4
658.1,95
694.16,94.9
732.2,95.5
772.32,95.6
814.64,96.5
859.28,96.6
906.36,96.6
956.02,96.1
1008.41,95.6
1063.66,95.1
1121.95,95.6
1183.42,96.1
1248.27,96.7
1316.66,96.6
1388.81,95.6
1464.91,95.2
1545.18,95.9
1629.84,96.8
1719.15,96.5
1813.35,95.5
1912.71,95.8
2017.52,96.8
2128.06,96.2
2244.67,95.3
2367.66,96.4
2497.4,96.4
2634.24,95.4
2778.58,96.6
2930.83,95.9
3091.43,96
3260.82,96.5
3439.49,95.6
3627.96,96.5
3826.75,95.6
4036.43,96.4
4257.6,95.9
4490.9,95.9
4736.97,96.6
4996.53,95.7
5270.31,96
5559.09,96.6
5863.7,96.3
6185,95.8
6523.9,95.7
6881.37,95.7
7258.43,95.7
7656.15,95.7
8075.66,95.7
8518.16,95.9
8984.91,96.3
9477.23,96.4
9996.53,95.8
10544.28,96.3
11122.05,95.9
11731.47,96.3
12374.29,95.7
13052.33,95.9
13767.52,96
14521.9,96
15317.62,95.8
16156.94,95.3
17042.24,94.8
17976.06,94.8
18961.04,93.7
20000,93.2
