# alt-18s hr SPL
freq,value
35,89
36.92,89.8
38.94,90.6
41.07,91.4
43.33,92.1
45.7,92.7
48.2,93.2
50.84,93.6
53.63,93.9
56.57,94.3
59.67,94.8
62.94,95.5
66.39,96.3
70.02,97.2
73.86,97.8
77.91,98.2
82.18,98.5
86.68,98.8
91.43,99
96.44,99.2
101.72,99.4
107.3,99.5
113.18,99.6
119.38,99.8
125.92,99.9
132.82,100
140.1,100.2
147.77,99.9
155.87,100.1
164.41,100.4
173.42,100.7
182.92,101
192.95,101.4
203.52,101.7
214.67,101.9
226.43,102
238.84,102
251.93,102
265.73,102
280.29,102.2
295.65,102.4
311.85,102.6
328.94,102.6
346.96,102.3
365.97,101.9
386.03,101.5
407.18,101.5
429.49,101.8
453.02,101.9
477.85,101.8
504.03,101.9
531.65,102.5
560.78,103
591.51,103
623.92,103.5
658.1,103.5
694.16,103.3
732.2,102.8
772.32,103.1
814.64,103.6
859.28,104.1
906.36,104.9
956.02,104.7
1008.41,104.6
1063.66,104.6
1121.95,105.1
1183.42,105.8
1248.27,105.8
1316.66,104.5
1388.81,103.4
1464.91,102.8
1545.18,102.5
1629.84,101.2
1719.15,99.7
1813.35,99.4
1912.71,98.4
2017.52,96.5
2128.06,96.1
2244.67,94.8
2367.66,93
2497.4,92.5
2634.24,90.4
2778.58,89.8
2930.83,87.9
3091.43,87
3260.82,85.1
3439.49,84.4
3627.96,82.3
3826.75,81.4
4036.43,80
4257.6,78.1
4490.9,77
4736.97,76
4996.53,74.5
5270.31,72.9
5559.09,71.3
5863.7,69.9
6185,68.5
6523.9,67.2
6881.37,66.1
7258.43,64.9
7656.15,63.2
8075.66,61.5
8518.16,60.6
8984.91,58.7
9477.23,57.9
9996.53,56.1
10544.28,54.7
11122.05,53.5
11731.47,52.2
12374.29,50.8
13052.33,49.3
13767.52,47.7
14521.9,46.6
15317.62,45
16156.94,43.9
17042.24,42.4
17976.06,41
18961.04,39.7
20000,38.2
