# default s1 SPL
freq,value
35,88.3
36.92,89
38.94,89.6
41.07,90.1
43.33,90.5
45.7,90.9
48.2,91.4
50.84,92.2
53.63,93.1
56.57,94.1
59.67,94.8
62.94,95.4
66.39,95.8
70.02,96.2
73.86,96.5
77.91,96.8
82.18,97.1
86.68,97.3
91.43,97.6
96.44,97.8
101.72,98
107.3,98.2
113.18,98.3
119.38,98.5
125.92,98.3
132.82,98.5
140.1,98.7
147.77,98.9
155.87,99.2
164.41,99.5
173.42,99.7
182.92,99.8
192.95,99.6
203.52,99.4
214.67,99.2
226.43,99
238.84,99
251.93,99.1
265.73,99.2
280.29,99.1
295.65,98.8
311.85,98.5
328.94,98.5
346.96,98.9
365.97,99.3
386.03,99.5
407.18,99.5
429.49,99.8
453.02,100.4
477.85,100.6
504.03,100.3
531.65,100.2
560.78,100.1
591.51,99.5
623.92,99.7
658.1,100
694.16,100.1
732.2,100.8
772.32,101.4
814.64,101.4
859.28,101.4
906.36,100.7
956.02,100.8
1008.41,101.1
1063.66,102.1
1121.95,102.6
1183.42,102
1248.27,101.3
1316.66,100.9
1388.81,100.9
1464.91,100.3
1545.18,98.8
1629.84,97.9
1719.15,98
1813.35,96.8
1912.71,95
2017.52,94.8
2128.06,93.5
2244.67,91.5
2367.66,91.3
2497.4,89.4
2634.24,88.3
2778.58,87.1
2930.83,85.4
3091.43,84.3
3260.82,82.9
3439.49,81.4
3627.96,80.5
3826.75,78.3
4036.43,77.5
4257.6,76.3
4490.9,74.3
4736.97,72.8
4996.53,71.9
5270.31,70.8
5559.09,69.4
5863.7,68
6185,66.6
6523.9,65.2
6881.37,63.6
7258.43,61.9
7656.15,60.4
8075.66,59.6
8518.16,57.8
8984.91,56.6
9477.23,54.9
9996.53,54
10544.28,52.3
11122.05,50.7
11731.47,49.3
12374.29,47.9
13052.33,46.6
13767.52,45.5
14521.9,44
15317.62,42.6
16156.94,41.1
17042.24,39.9
17976.06,38.6
18961.04,37.1
20000,35.5
