# default s1 SPL
freq,value
35,91
36.92,91.7
38.94,92.3
41.07,92.8
43.33,93.3
45.7,93.7
48.2,94.2
50.84,95
53.63,96
56.57,96.9
59.67,97.7
62.94,98.3
66.39,98.8
70.02,99.2
73.86,99.5
77.91,99.8
82.18,100.1
86.68,100.4
91.43,100.7
96.44,100.9
101.72,101.2
107.3,101.4
113.18,101.6
119.38,101.8
125.92,102.3
132.82,102.5
140.1,102.7
147.77,102.8
155.87,102.8
164.41,102.7
173.42,102.5
182.92,102.4
192.95,102.4
203.52,102.5
214.67,102.6
226.43,102.7
238.84,102.5
251.93,102.1
265.73,101.6
280.29,101.3
295.65,101.2
311.85,101.5
328.94,101.7
346.96,101.7
365.97,101.7
386.03,102.1
407.18,102.8
429.49,103.5
453.02,103.6
477.85,103.6
504.03,103.8
531.65,103.6
560.78,102.7
591.51,102.3
623.92,102.2
658.1,101.9
694.16,102.5
732.2,103.4
772.32,103.8
814.64,104.2
859.28,103.3
906.36,102.7
956.02,102
1008.41,102.7
1063.66,103.5
1121.95,104.1
1183.42,103.4
1248.27,102.2
1316.66,102.5
1388.81,103.9
1464.91,103.9
1545.18,102.5
1629.84,102.4
1719.15,103.8
1813.35,103.4
1912.71,102.2
2017.52,103.6
2128.06,103.4
2244.67,102.5
2367.66,104
2497.4,102.6
2634.24,103.4
2778.58,103.2
2930.83,103.1
3091.43,103.3
3260.82,103.2
3439.49,102.9
3627.96,103.8
3826.75,102.5
4036.43,103.3
4257.6,103.8
4490.9,102.8
4736.97,102.7
4996.53,103.2
5270.31,103.7
5559.09,103.8
5863.7,103.7
6185,103.8
6523.9,103.7
6881.37,103.5
7258.43,102.9
7656.15,102.9
8075.66,103.6
8518.16,103
8984.91,103.4
9477.23,102.9
9996.53,103.6
10544.28,103.1
11122.05,102.8
11731.47,102.8
12374.29,102.8
13052.33,102.8
13767.52,103.2
14521.9,102.9
15317.62,102.8
16156.94,102.2
17042.24,102.2
17976.06,101.8
18961.04,101
20000,99.9
