# default s1 SPL
freq,value
35,88.3
36.92,89
38.94,89.6
41.07,90.1
43.33,90.5
45.7,90.9
48.2,91.4
50.84,92.1
53.63,93
56.57,93.9
59.67,94.7
62.94,95.2
66.39,95.7
70.02,96
73.86,96.3
77.91,96.6
82.18,96.8
86.68,97
91.43,97.2
96.44,97.4
101.72,97.6
107.3,97.8
113.18,98
119.38,98.1
125.92,98
132.82,98.2
140.1,98.5
147.77,98.9
155.87,99.2
164.41,99.4
173.42,99.5
182.92,99.5
192.95,99.4
203.52,99.2
214.67,99.2
226.43,99.3
238.84,99.5
251.93,99.6
265.73,99.6
280.29,99.4
295.65,99
311.85,98.7
328.94,98.8
346.96,99.1
365.97,99.2
386.03,99.1
407.18,99.1
429.49,99.6
453.02,100.2
477.85,100.3
504.03,100.2
531.65,100.4
560.78,100.4
591.51,99.8
623.92,99.6
658.1,99.6
694.16,99.3
732.2,99.9
772.32,100.2
814.64,100.5
859.28,100.6
906.36,100
956.02,99.7
1008.41,99.6
1063.66,100
1121.95,100.7
1183.42,100.4
1248.27,99.9
1316.66,99.8
1388.81,100.1
1464.91,100.5
1545.18,100.1
1629.84,99.7
1719.15,100.4
1813.35,100.6
1912.71,99.8
2017.52,100.2
2128.06,100.5
2244.67,99.7
2367.66,100.5
2497.4,100.2
2634.24,100
2778.58,100.5
2930.83,99.9
3091.43,100.4
3260.82,100
3439.49,100.3
3627.96,100.4
3826.75,99.9
4036.43,100.5
4257.6,100.3
4490.9,99.9
4736.97,100
4996.53,100.4
5270.31,100.6
5559.09,100.5
5863.7,100.4
6185,100.4
6523.9,100.5
6881.37,100.5
7258.43,100.2
7656.15,99.9
8075.66,100.3
8518.16,100.2
8984.91,100.1
9477.23,100.2
9996.53,100.3
10544.28,100
11122.05,99.9
11731.47,99.9
12374.29,99.8
13052.33,99.7
13767.52,99.7
14521.9,99.6
15317.62,99
16156.94,98.6
17042.24,98.2
17976.06,97.4
18961.04,96.3
20000,94.9
