# default rew SPL
freq,value
35,97.4
36.92,97.6
38.94,97.6
41.07,97.9
43.33,98.7
45.7,99.4
48.2,99.7
50.84,100.6
53.63,100.9
56.57,101.4
59.67,101.7
62.94,101.4
66.39,101.5
70.02,101.8
73.86,102
77.91,101.8
82.18,102.3
86.68,102.1
91.43,102.2
96.44,102.2
101.72,102.4
107.3,101.9
113.18,101.7
119.38,102
125.92,102
132.82,102.4
140.1,102.4
147.77,102.2
155.87,102.1
164.41,102.3
173.42,101.6
182.92,101.6
192.95,101.6
203.52,101.8
214.67,102
226.43,102.1
238.84,102.6
251.93,102
265.73,102.3
280.29,102.4
295.65,102.7
311.85,103.2
328.94,103.4
346.96,103.4
365.97,103.9
386.03,103.9
407.18,104.2
429.49,103.6
453.02,103.3
477.85,103.6
504.03,102.9
531.65,102.7
560.78,103.3
591.51,103.2
623.92,104.2
658.1,105.1
694.16,104.8
732.2,104.9
772.32,104.7
814.64,104.4
859.28,104.4
906.36,104.7
956.02,105.4
1008.41,106.5
1063.66,106.3
1121.95,105.9
1183.42,105.4
1248.27,105.9
1316.66,105.9
1388.81,105.2
1464.91,103.7
1545.18,102.9
1629.84,102.9
1719.15,101.4
1813.35,100.1
1912.71,99.7
2017.52,98.4
2128.06,96.3
2244.67,96.2
2367.66,94.4
2497.4,92.9
2634.24,92.1
2778.58,90.1
2930.83,89.5
3091.43,87.2
3260.82,86.7
3439.49,84.9
3627.96,83.8
3826.75,82.9
4036.43,80.6
4257.6,79.6
4490.9,78.3
4736.97,76.5
4996.53,75
5270.31,73.9
5559.09,72.3
5863.7,70.9
6185,70
6523.9,68.1
6881.37,67
7258.43,65.5
7656.15,64.6
8075.66,63.1
8518.16,61.2
8984.91,60.2
9477.23,58.5
9996.53,57.4
10544.28,56.3
11122.05,54.4
11731.47,53.3
12374.29,51.7
13052.33,50.7
13767.52,49.2
14521.9,47.2
15317.62,46.5
16156.94,45
17042.24,43.5
17976.06,41.9
18961.04,40.5
20000,39.1
