# default s1 SPL
freq,value
35,97.4
36.92,97.7
38.94,97.8
41.07,98.1
43.33,98.6
45.7,99.3
48.2,100
50.84,100.6
53.63,101
56.57,101.3
59.67,101.5
62.94,101.6
66.39,101.7
70.02,101.9
73.86,101.9
77.91,102
82.18,102.1
86.68,102.1
91.43,102.2
96.44,102.2
101.72,102.2
107.3,101.8
113.18,101.9
119.38,102
125.92,102.2
132.82,102.3
140.1,102.4
147.77,102.4
155.87,102.3
164.41,102.1
173.42,101.8
182.92,101.6
192.95,101.6
203.52,101.7
214.67,102
226.43,102.3
238.84,102.3
251.93,102.2
265.73,102.1
280.29,102.4
295.65,102.9
311.85,103.4
328.94,103.5
346.96,103.4
365.97,103.6
386.03,104.1
407.18,104
429.49,103.5
453.02,103.4
477.85,103.4
504.03,102.9
531.65,102.7
560.78,103.1
591.51,103
623.92,104.2
658.1,104.8
694.16,104.8
732.2,105.1
772.32,104.5
814.64,104.5
859.28,104.2
906.36,104.9
956.02,105.6
1008.41,106.2
1063.66,106.5
1121.95,105.9
1183.42,105.6
1248.27,106
1316.66,106.1
1388.81,105.1
1464.91,103.5
1545.18,102.8
1629.84,102.7
1719.15,101.4
1813.35,99.8
1912.71,99.4
2017.52,98.3
2128.06,96.5
2244.67,96.1
2367.66,94.5
2497.4,93
2634.24,92.4
2778.58,90.1
2930.83,89.6
3091.43,87.4
3260.82,86.9
3439.49,84.8
3627.96,83.8
3826.75,82.6
4036.43,80.5
4257.6,79.6
4490.9,78.6
4736.97,76.7
4996.53,75
5270.31,73.7
5559.09,72.5
5863.7,71.2
6185,69.7
6523.9,68.2
6881.37,66.8
7258.43,65.5
7656.15,64.6
8075.66,62.9
8518.16,61.3
8984.91,60.3
9477.23,58.6
9996.53,57.2
10544.28,56.2
11122.05,54.7
11731.47,53.2
12374.29,51.9
13052.33,50.6
13767.52,49.1
14521.9,47.4
15317.62,46.4
16156.94,44.8
17042.24,43.3
17976.06,41.9
18961.04,40.5
20000,39.3
