# default s1 SPL
freq,value
35,95.9
36.92,96.6
38.94,97.1
41.07,97.5
43.33,97.8
45.7,98.1
48.2,98.5
50.84,99.1
53.63,99.9
56.57,100.7
59.67,101.3
62.94,101.8
66.39,102.1
70.02,102.4
73.86,102.6
77.91,102.8
82.18,103
86.68,103.2
91.43,103.4
96.44,103.5
101.72,103.7
107.3,103.8
113.18,104
119.38,104.1
125.92,104.6
132.82,104.7
140.1,104.8
147.77,104.8
155.87,104.7
164.41,104.6
173.42,104.5
182.92,104.5
192.95,104.6
203.52,104.8
214.67,105
226.43,105.1
238.84,104.9
251.93,104.6
265.73,104.2
280.29,104.1
295.65,104.2
311.85,104.5
328.94,104.6
346.96,104.5
365.97,104.5
386.03,104.8
407.18,105.4
429.49,105.7
453.02,105.7
477.85,105.7
504.03,106
531.65,105.8
560.78,105.2
591.51,105.1
623.92,105.5
658.1,105.3
694.16,105.9
732.2,106.3
772.32,106.6
814.64,107
859.28,106.5
906.36,106.5
956.02,106.1
1008.41,106.9
1063.66,107.5
1121.95,107.9
1183.42,107.6
1248.27,106.6
1316.66,106.4
1388.81,106.5
1464.91,105.8
1545.18,104.2
1629.84,103.3
1719.15,103.2
1813.35,102.1
1912.71,100.4
2017.52,100.1
2128.06,98.9
2244.67,97.2
2367.66,96.8
2497.4,94.7
2634.24,94
2778.58,92.4
2930.83,91.1
3091.43,89.8
3260.82,88.4
3439.49,86.8
3627.96,86
3826.75,83.9
4036.43,82.9
4257.6,81.8
4490.9,79.9
4736.97,78.4
4996.53,77.3
5270.31,76.2
5559.09,74.9
5863.7,73.4
6185,72.1
6523.9,70.6
6881.37,69.1
7258.43,67.4
7656.15,66
8075.66,65
8518.16,63.3
8984.91,62.1
9477.23,60.5
9996.53,59.5
10544.28,57.8
11122.05,56.3
11731.47,54.8
12374.29,53.5
13052.33,52.2
13767.52,51
14521.9,49.5
15317.62,48.1
16156.94,46.6
17042.24,45.4
17976.06,44.1
18961.04,42.5
20000,41
